"date","name","value"
"2020-12-27","Abruzzo","34496"
"2020-12-27","Basilicata","10481"
"2020-12-27","Calabria","22694"
"2020-12-27","Campania","186131"
"2020-12-27","Emilia-Romagna","166327"
"2020-12-27","Friuli Venezia Giulia","47667"
"2020-12-27","Lazio","157767"
"2020-12-27","Liguria","59104"
"2020-12-27","Lombardia","471955"
"2020-12-27","Marche","39697"
"2020-12-27","Molise","6382"
"2020-12-27","P.A. Bolzano","28803"
"2020-12-27","P.A. Trento","21049"
"2020-12-27","Piemonte","194262"
"2020-12-27","Puglia","86439"
"2020-12-27","Sardegna","30145"
"2020-12-27","Sicilia","89616"
"2020-12-27","Toscana","118784"
"2020-12-27","Umbria","28064"
"2020-12-27","Valle d'Aosta","7181"
"2020-12-27","Veneto","240652"
